match_no,date,stage,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,1.6,Travis Head,Bhuvneshwar Kumar,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.1,Abhishek Sharma,Jacob Duffy,0,0,0,0,0,0,caught,Abhishek Sharma,Jitesh Sharma
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.1,Abhishek Sharma,Jacob Duffy,0,1,1,0,0,0,bowled,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.1,Abhishek Sharma,Jacob Duffy,0,1,1,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.2,Ishan Kishan,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.3,Travis Head,Jacob Duffy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.4,Travis Head,Jacob Duffy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.5,Travis Head,Jacob Duffy,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,2.6,Travis Head,Jacob Duffy,0,0,0,0,0,0,caught,Travis Head,Phil Salt
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,3.1,Ishan Kishan,Bhuvneshwar Kumar,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,3.2,Ishan Kishan,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,3.3,Nitish Reddy,Bhuvneshwar Kumar,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,3.4,Nitish Reddy,Bhuvneshwar Kumar,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,3.5,Nitish Reddy,Bhuvneshwar Kumar,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,3.6,Nitish Reddy,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,4.1,Nitish Reddy,Jacob Duffy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,4.2,Nitish Reddy,Jacob Duffy,0,0,0,0,0,0,caught,Nitish Reddy,Abhinandan Singh
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,4.3,Heinrich Klaasen,Jacob Duffy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,4.4,Heinrich Klaasen,Jacob Duffy,3,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,4.5,Ishan Kishan,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,4.6,Heinrich Klaasen,Jacob Duffy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,5.1,Ishan Kishan,Abhinandan Singh,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,5.2,Ishan Kishan,Abhinandan Singh,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,5.3,Ishan Kishan,Abhinandan Singh,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,5.4,Ishan Kishan,Abhinandan Singh,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,5.5,Ishan Kishan,Abhinandan Singh,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,5.6,Ishan Kishan,Abhinandan Singh,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,6.1,Heinrich Klaasen,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,6.2,Ishan Kishan,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,6.3,Heinrich Klaasen,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,6.4,Ishan Kishan,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,6.5,Heinrich Klaasen,Jacob Duffy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,6.6,Heinrich Klaasen,Jacob Duffy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,7.1,Heinrich Klaasen,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,7.2,Ishan Kishan,Romario Shepherd,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,7.3,Ishan Kishan,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,7.4,Heinrich Klaasen,Romario Shepherd,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,7.5,Heinrich Klaasen,Romario Shepherd,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,7.6,Heinrich Klaasen,Romario Shepherd,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,8.1,Ishan Kishan,Abhinandan Singh,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,8.2,Heinrich Klaasen,Abhinandan Singh,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,8.3,Ishan Kishan,Abhinandan Singh,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,8.4,Ishan Kishan,Abhinandan Singh,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,8.5,Ishan Kishan,Abhinandan Singh,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,8.6,Ishan Kishan,Abhinandan Singh,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,9.1,Ishan Kishan,Suyash Sharma,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,9.2,Ishan Kishan,Suyash Sharma,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,9.3,Ishan Kishan,Suyash Sharma,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,9.4,Heinrich Klaasen,Suyash Sharma,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,9.5,Ishan Kishan,Suyash Sharma,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,9.6,Ishan Kishan,Suyash Sharma,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.1,Heinrich Klaasen,Krunal Pandya,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.2,Heinrich Klaasen,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.3,Ishan Kishan,Krunal Pandya,1,0,0,0,0,0,bowled,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.3,Ishan Kishan,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.4,Heinrich Klaasen,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.5,Ishan Kishan,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,10.6,Heinrich Klaasen,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,11.1,Heinrich Klaasen,Suyash Sharma,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,11.2,Ishan Kishan,Suyash Sharma,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,11.3,Ishan Kishan,Suyash Sharma,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,11.4,Ishan Kishan,Suyash Sharma,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,11.5,Ishan Kishan,Suyash Sharma,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,11.6,Ishan Kishan,Suyash Sharma,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,12.1,Heinrich Klaasen,Krunal Pandya,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,12.2,Heinrich Klaasen,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,12.3,Ishan Kishan,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,12.4,Heinrich Klaasen,Krunal Pandya,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,12.5,Ishan Kishan,Krunal Pandya,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,12.6,Ishan Kishan,Krunal Pandya,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,13.1,Heinrich Klaasen,Romario Shepherd,0,0,0,0,0,0,caught,Heinrich Klaasen,Phil Salt
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,13.2,Salil Arora,Romario Shepherd,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,13.3,Salil Arora,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,13.4,Ishan Kishan,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,13.5,Salil Arora,Romario Shepherd,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,13.6,Salil Arora,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,14.1,Salil Arora,Suyash Sharma,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,14.2,Ishan Kishan,Suyash Sharma,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,14.3,Salil Arora,Suyash Sharma,0,0,0,0,0,0,caught,Salil Arora,Devdutt Padikkal
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,14.4,Aniket Verma,Suyash Sharma,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,14.5,Aniket Verma,Suyash Sharma,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,14.6,Aniket Verma,Suyash Sharma,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,15.1,Aniket Verma,Abhinandan Singh,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,15.2,Aniket Verma,Abhinandan Singh,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,15.3,Aniket Verma,Abhinandan Singh,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,15.4,Aniket Verma,Abhinandan Singh,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,15.5,Ishan Kishan,Abhinandan Singh,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,15.6,Ishan Kishan,Abhinandan Singh,0,0,0,0,0,0,caught,Ishan Kishan,Phil Salt
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.1,Aniket Verma,Romario Shepherd,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.2,Aniket Verma,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.3,Harsh Dubey,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.4,Aniket Verma,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.5,Harsh Dubey,Romario Shepherd,0,1,1,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.5,Harsh Dubey,Romario Shepherd,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,16.6,Harsh Dubey,Romario Shepherd,0,0,0,0,0,0,caught,Harsh Dubey,Devdutt Padikkal
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,17.1,Aniket Verma,Bhuvneshwar Kumar,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,17.2,Aniket Verma,Bhuvneshwar Kumar,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,17.3,Aniket Verma,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,17.4,Harshal Patel,Bhuvneshwar Kumar,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,17.5,Harshal Patel,Bhuvneshwar Kumar,0,0,0,0,0,0,caught,Harshal Patel,Devdutt Padikkal
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,17.6,David Payne,Bhuvneshwar Kumar,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,18.1,David Payne,Romario Shepherd,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,18.2,Aniket Verma,Romario Shepherd,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,18.3,Aniket Verma,Romario Shepherd,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,18.4,Aniket Verma,Romario Shepherd,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,18.5,Aniket Verma,Romario Shepherd,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,18.6,Aniket Verma,Romario Shepherd,0,0,0,0,0,0,caught,Aniket Verma,Virat Kohli
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,19.1,David Payne,Bhuvneshwar Kumar,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,19.2,David Payne,Bhuvneshwar Kumar,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,19.3,David Payne,Bhuvneshwar Kumar,0,1,0,1,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,19.4,Jaydev Unadkat,Bhuvneshwar Kumar,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,19.5,Jaydev Unadkat,Bhuvneshwar Kumar,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,RCB,1,19.6,Jaydev Unadkat,Bhuvneshwar Kumar,2,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,0.1,Phil Salt,Nitish Reddy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,0.2,Phil Salt,Nitish Reddy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,0.3,Phil Salt,Nitish Reddy,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,0.4,Phil Salt,Nitish Reddy,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,0.5,Phil Salt,Nitish Reddy,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,0.6,Phil Salt,Nitish Reddy,0,1,0,1,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,1.1,Phil Salt,Jaydev Unadkat,0,0,0,0,0,0,caught,Phil Salt,Heinrich Klaasen
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,1.2,Devdutt Padikkal,Jaydev Unadkat,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,1.3,Devdutt Padikkal,Jaydev Unadkat,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,1.4,Virat Kohli,Jaydev Unadkat,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,1.5,Virat Kohli,Jaydev Unadkat,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,1.6,Virat Kohli,Jaydev Unadkat,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,2.1,Virat Kohli,Nitish Reddy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,2.2,Devdutt Padikkal,Nitish Reddy,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,2.3,Devdutt Padikkal,Nitish Reddy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,2.4,Virat Kohli,Nitish Reddy,0,1,0,1,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,2.5,Devdutt Padikkal,Nitish Reddy,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,2.6,Devdutt Padikkal,Nitish Reddy,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,3.1,Devdutt Padikkal,David Payne,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,3.2,Devdutt Padikkal,David Payne,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,3.3,Devdutt Padikkal,David Payne,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,3.4,Devdutt Padikkal,David Payne,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,3.5,Virat Kohli,David Payne,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,3.6,Devdutt Padikkal,David Payne,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,4.1,Virat Kohli,Jaydev Unadkat,0,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,4.2,Virat Kohli,Jaydev Unadkat,6,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,4.3,Virat Kohli,Jaydev Unadkat,4,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,4.4,Virat Kohli,Jaydev Unadkat,1,0,0,0,0,0,,,
1,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,SRH,2,4.5,Devdutt Padikkal,Jaydev Unadkat,0,4,0,0,1,0,,,
